epoch,accuracy,loss,val_accuracy,val_loss
0,0.3224112093448639,9.647470474243164,0.9999249577522278,7.561821460723877
1,0.9625645875930786,7.567361354827881,0.9999249577522278,7.527600288391113
2,0.9969484806060791,7.511560916900635,0.9999249577522278,7.525919437408447
3,0.9998165965080261,7.500918388366699,0.9999249577522278,7.525919437408447
4,0.9998165965080261,7.499564170837402,0.9999249577522278,7.525966167449951
5,0.9661664366722107,nan,0.9999249577522278,nan
6,0.9998165965080261,nan,0.9999249577522278,nan
7,0.9998165965080261,nan,0.9999249577522278,nan
0,0.09521427750587463,29.64314842224121,5.002501347917132e-05,40.27725601196289
1,0.0935884639620781,30.174013137817383,0.0,25.011898040771484
2,0.037001833319664,30.64204216003418,0.0,38.88866424560547
3,0.013781891204416752,29.096927642822266,0.0,45.892757415771484
0,0.9125062823295593,8.800102233886719,0.9999249577522278,7.548694610595703
1,0.9995247721672058,7.538360118865967,0.9999249577522278,7.526541233062744
2,0.9998165965080261,7.510547637939453,0.9999249577522278,7.525971412658691
3,0.9998165965080261,7.501687526702881,0.9999249577522278,7.525913715362549
4,0.9998165965080261,7.4994120597839355,0.9999249577522278,7.5259199142456055
5,0.9998165965080261,7.499279499053955,0.9999249577522278,7.5259175300598145
6,0.9998165965080261,7.499236106872559,0.9999249577522278,7.525944232940674
7,0.9998165965080261,7.4992499351501465,0.9999249577522278,7.5259552001953125
8,0.9998165965080261,7.499185562133789,0.9999249577522278,7.525912284851074
9,0.9998165965080261,7.499125957489014,0.9999249577522278,7.525899887084961
10,0.9998165965080261,7.499142646789551,0.9999249577522278,7.525901794433594
11,0.9998165965080261,7.499118328094482,0.9999249577522278,7.525876998901367
12,0.9998165965080261,7.499114990234375,0.9999249577522278,7.525848865509033
13,0.9998165965080261,7.499084949493408,0.9999249577522278,7.52589750289917
14,0.9998165965080261,7.49908971786499,0.9999249577522278,7.525845527648926
15,0.9998165965080261,7.499023914337158,0.9999249577522278,7.525875568389893
16,0.9998165965080261,7.4989542961120605,0.9999249577522278,7.525860786437988
17,0.9998165965080261,7.49896764755249,0.9999249577522278,7.525876998901367
18,0.9998165965080261,7.499059200286865,0.9999249577522278,7.525847911834717
19,0.9998165965080261,7.498995780944824,0.9999249577522278,7.52584981918335
